iter	RMSE
0	7135212.627
1	6187808.842
2	5562565.422
3	5073641.93
4	4703516.637
5	4344946.643
6	4059720.107
7	3836778.936
8	3635282.63
9	3451516.601
10	3302971.979
11	3130837.506
12	3013320.469
13	2891057.084
14	2830197.433
15	2755175.137
16	2707235.165
17	2640113.125
18	2578986.301
19	2499037.619
20	2414850.186
21	2340204.806
22	2331170.23
23	2290851.424
24	2228490.177
25	2168980.509
26	2102073.436
27	2076670.376
28	2028825.554
29	1976055.364
30	1934507.43
31	1925036.383
32	1879512.507
33	1850370.914
34	1814882.134
35	1803164.014
36	1768789.137
37	1740172.352
38	1716604.737
39	1679297.205
40	1652852.864
41	1619380.973
42	1589376.162
43	1561123.318
44	1537622.436
45	1515959.764
46	1495063.139
47	1475669.357
48	1447851.932
49	1427724.878
50	1405919.974
51	1389359.91
52	1373595.135
53	1356441.935
54	1341570.634
55	1328507.085
56	1308590.774
57	1305305.006
58	1283360.595
59	1266350.385
60	1250526.507
61	1235129.986
62	1225491.058
63	1219691.338
64	1214719.753
65	1200876.391
66	1191664.535
67	1188801.073
68	1187184.903
69	1186756.911
70	1175684.765
71	1166774.185
72	1165407.201
73	1157711.635
74	1146462.307
75	1137840.078
76	1127254.621
77	1113721.566
78	1105587.619
79	1093925.899
80	1085117.743
81	1077819.255
82	1071719.467
83	1058067.389
84	1048807.931
85	1037843.847
86	1033059.324
87	1026669.286
88	1016199.192
89	1007730.253
90	1001107.051
91	992569.8191
92	986072.3469
93	982587.5195
94	974016.6048
95	969277.3463
96	968615.8422
97	964249.2443
98	963734.5876
99	959463.0791
