iter	Passed	Remaining
0	53	5327
1	97	4759
2	814	26349
3	1512	36306
4	1549	29431
5	2199	34452
6	2622	34847
7	3055	35134
8	3520	35598
9	3969	35722
10	4398	35586
11	4817	35328
12	5285	35374
13	5716	35117
14	5983	33905
15	6418	33695
16	6447	31478
17	6863	31265
18	7249	30907
19	7839	31356
20	8323	31310
21	8938	31690
22	8940	29930
23	9371	29677
24	10141	30424
25	10544	30009
26	10973	29669
27	11010	28311
28	11508	28175
29	11937	27854
30	12525	27879
31	12919	27454
32	13334	27073
33	13741	26674
34	14158	26294
35	14259	25349
36	14624	24900
37	15030	24523
38	15389	24070
39	15710	23565
40	16030	23068
41	16355	22586
42	16674	22103
43	16995	21630
44	17327	21177
45	17674	20747
46	17994	20291
47	18307	19833
48	18624	19384
49	18952	18952
50	19295	18538
51	19808	18285
52	20256	17963
53	20606	17554
54	21001	17182
55	21351	16776
56	21687	16360
57	21759	15756
58	22171	15407
59	22509	15006
60	22835	14599
61	23171	14202
62	23496	13799
63	23811	13394
64	24130	12993
65	24449	12595
66	24774	12202
67	25105	11814
68	25141	11295
69	25143	10775
70	25542	10433
71	25608	9958
72	25667	9493
73	26035	9147
74	26356	8785
75	26669	8422
76	26993	8062
77	27348	7713
78	27751	7376
79	28095	7023
80	28436	6670
81	28757	6312
82	29078	5955
83	29395	5599
84	29713	5243
85	30040	4890
86	30356	4536
87	30677	4183
88	30994	3830
89	31321	3480
90	31645	3129
91	31972	2780
92	32291	2430
93	32616	2081
94	32941	1733
95	33252	1385
96	33287	1029
97	33679	687
98	34004	343
99	34324	0
