bedrooms,location,area,bathrooms,parking,price
3.0,Sea Point,227.0,2.5,2,7950000.0
2.0,Sea Point,139.0,1.5,1,5600000.0
2.0,Sea Point,67.0,2,1,5200000.0
3.0,Sea Point,168.0,2,2,6550000.0
2.0,Sea Point,97.0,1,1,2990000.0
2.0,Sea Point,91.0,2,1,3450000.0
1.0,Sea Point,75.0,1,1,3150000.0
2.0,Sea Point,83.0,1,1,5200000.0
1.0,Sea Point,117.0,1,1,5500000.0
3.0,Sea Point,198.0,2.5,2,8950000.0
3.0,Sea Point,174.0,2.5,1,7750000.0
2.0,Sea Point,88.0,2,1,3590000.0
3.0,Sea Point,228.0,3.5,2,16175000.0
3.0,Sea Point,188.0,3.5,2,15700000.0
3.0,Sea Point,174.0,2,1,7750000.0
2.0,Sea Point,157.0,3,1,8450000.0
2.0,Sea Point,76.0,1,1,3149000.0
2.0,Sea Point,140.0,2,1,7900000.0
2.0,Sea Point,106.0,1,1,3650000.0
2.0,Sea Point,80.0,2,2,5300000.0
2.0,Sea Point,294.0,3,4,11500000.0
2.0,Sea Point,95.0,1.5,1,3999000.0
3.0,Sea Point,174.0,2,1,7750000.0
2.0,Sea Point,139.0,25,6,7900000.0
2.0,Sea Point,157.0,3,1,8450000.0
3.0,Sea Point,150.0,3,2,6995000.0
2.0,Sea Point,157.0,2,2,15950000.0
3.0,Sea Point,91.0,1,1,2500000.0
1.0,Sea Point,68.0,2,2,3750000.0
3.0,Sea Point,103.0,1.5,1,3600000.0
4.0,Sea Point,479.0,4,2,19900000.0
1.0,Sea Point,78.0,1,2,3400000.0
2.0,Sea Point,100.0,1,1,4200000.0
3.0,Sea Point,104.0,2,1,3495000.0
3.0,Sea Point,145.0,1.5,1,5450000.0
1.0,Sea Point,132.0,1.5,1,3250000.0
0,Sea Point,57.0,1,1,2995000.0
1.0,Sea Point,47.0,1,1,1995000.0
2.0,Sea Point,99.0,1,1,3975000.0
2.0,Sea Point,94.0,1,1,2995000.0
2.0,Sea Point,93.0,1,2,3195000.0
4.0,Sea Point,300.0,4.5,2,15999000.0
2.0,Sea Point,114.0,2,1,3900000.0
1.0,Sea Point,51.0,1,1,2200000.0
3.0,Sea Point,198.0,2.5,2,8950000.0
2.0,Sea Point,262.0,2.5,2,7849050.0
2.0,Sea Point,93.0,2,1,5209000.0
2.0,Sea Point,154.0,2.5,2,7659050.0
4.0,Sea Point,300.0,4.5,2,15999000.0
2.0,Sea Point,119.0,2,1,5488500.0
2.0,Sea Point,135.0,2,1,5895000.0
2.0,Sea Point,147.0,2,1,4999000.0
3.0,Sea Point,114.0,2,2,6350000.0
0.0,Sea Point,37.0,1,1,2990000.0
1.0,Sea Point,58.0,1,1,2295000.0
2.0,Sea Point,90.0,2,1,4795000.0
3.0,Sea Point,253.0,3,2,12999000.0
2.0,Sea Point,100.0,2,2,4995000.0
2.0,Sea Point,98.0,2,1,3595000.0
4.0,Sea Point,321.0,4,3,14750000.0
2.0,Sea Point,90.0,2,1,4795000.0
2.0,Sea Point,109.0,2.5,2,6450000.0
1.0,Sea Point,53.0,1,1,3500000.0
1.0,Sea Point,68.0,1,1,2995000.0
3.0,Sea Point,204.0,2,2,9999000.0
2.0,Sea Point,105.0,2,1,4099000.0
3.0,Sea Point,109.0,1.5,1,7200000.0
2.0,Sea Point,95.0,2,2,3995000.0
1.0,Sea Point,54.0,1,1,2250000.0
3.0,Sea Point,144.0,2.5,1,3900000.0
2.0,Sea Point,98.0,2,1,4095000.0
2.0,Sea Point,127.0,2,2,7900000.0
2.0,Sea Point,77.0,2,1,0
2.0,Sea Point,111.0,1.5,1,2999000.0
2.0,Sea Point,98.0,2,2,6850000.0
2.0,Sea Point,130.0,2,1,4000000.0
2.0,Sea Point,127.0,2,1,5300000.0
2.0,Sea Point,77.0,2,1,0
1.0,Sea Point,84.0,1.5,1,2895000.0
2.0,Sea Point,83.0,2,1,3595000.0
0.0,Sea Point,33.0,1,1,1550000.0
2.0,Sea Point,96.0,1,1,3995000.0
2.0,Sea Point,127.0,1,1,4500000.0
2.0,Sea Point,94.0,1,1,2995000.0
2.0,Sea Point,70.0,1,2,2395000.0
3.0,Sea Point,145.0,1,2,4750000.0
2.0,Sea Point,95.0,2,1,3800000.0
1.0,Sea Point,52.0,1,1,2200000.0
1.0,Sea Point,95.0,2,1,3495000.0
2.0,Sea Point,122.0,2,2,5795000.0
2.0,Sea Point,85.0,1,1,2250000.0
0.0,Sea Point,41.0,1,1,3299000.0
2.0,Sea Point,132.0,2,1,5800000.0
1.0,Sea Point,52.0,1,1,1995000.0
2.0,Sea Point,105.0,2.5,2,5699000.0
3.0,Sea Point,109.0,2,1,5900000.0
3.0,Sea Point,319.0,3.5,2,29500000.0
2.0,Sea Point,111.0,2,2,4800000.0
2.0,Sea Point,76.0,1,1,3250000.0
2.0,Sea Point,63.0,2,1,2750000.0
3.0,Sea Point,348.0,2.5,3,15875000.0
2.0,Sea Point,216.0,2,2,8500000.0
1.0,Sea Point,76.0,1,1,3995000.0
2.0,Sea Point,88.0,1,1,3590000.0
3.0,Sea Point,110.0,2,1,4990000.0
1.0,Sea Point,73.0,1,1,1850000.0
2.0,Sea Point,95.0,2,2,3995000.0
3.0,Sea Point,435.0,3.5,3,32950000.0
1.0,Sea Point,76.0,1,1,3995000.0
