bedrooms,location,area,price
2.0,Gardens,58.0,1750000.0
2.0,Gardens,154.0,2895000.0
2.0,Gardens,79.0,2550000.0
2.0,Gardens,151.0,4750000.0
1.0,Gardens,46.0,1850000.0
3.0,Gardens,213.0,5295000.0
3.0,Gardens,137.0,5200000.0
2.0,Gardens,80.0,2295000.0
2.0,Gardens,158.0,5250000.0
2.0,Gardens,100.0,3750000.0
2.0,Gardens,58.0,1750000.0
2.0,Gardens,74.0,2750000.0
2.0,Gardens,81.0,3275000.0
0.0,Gardens,29.0,1250000.0
2.0,Gardens,71.0,3200000.0
2.0,Gardens,91.0,3995000.0
1.0,Gardens,46.0,2395000.0
3.0,Gardens,108.0,3695000.0
2.0,Gardens,78.0,3250000.0
2.0,Gardens,71.0,1880000.0
2.0,Gardens,97.0,3250000.0
3.0,Gardens,560.0,7995000.0
3.0,Gardens,244.0,5290000.0
0,Gardens,25.0,1350000.0
0,Gardens,52.0,2195000.0
1.0,Gardens,46.0,1850000.0
2.0,Gardens,74.0,2000000.0
3.0,Gardens,154.0,4495000.0
0.0,Gardens,27.0,1350000.0
0,Gardens,300.0,8450000.0
2.0,Gardens,98.0,3100000.0
2.0,Gardens,110.0,5200000.0
2.0,Gardens,85.0,2890000.0
0,Gardens,31.0,1595000.0
1.0,Gardens,53.0,1995000.0
0.0,Gardens,61.0,1795000.0
2.0,Gardens,90.0,3500000.0
0.0,Gardens,43.0,1450000.0
0.0,Gardens,41.0,1495000.0
1.0,Gardens,43.0,1550000.0
1.0,Gardens,55.0,2090000.0
3.0,Gardens,168.0,6250000.0
2.0,Gardens,87.0,4390000.0
2.0,Gardens,85.0,2890000.0
2.0,Gardens,79.0,2575000.0
2.0,Gardens,93.0,4590000.0
2.0,Gardens,93.0,4490000.0
0,Gardens,40.0,1650000.0
1.0,Gardens,52.0,2150000.0
2.0,Gardens,91.0,3995000.0
3.0,Gardens,209.0,5950000.0
2.0,Gardens,93.0,4490000.0
2.0,Gardens,82.0,3650000.0
1.0,Gardens,46.0,1995000.0
0,Gardens,57.0,1950000.0
2.0,Gardens,72.0,2450000.0
0,Gardens,51.0,1625000.0
1.0,Gardens,64.0,2000000.0
0.0,Gardens,26.0,1395000.0
2.0,Gardens,180.0,5245000.0
0,Gardens,178.0,4950000.0
2.0,Gardens,183.0,5250000.0
2.0,Gardens,71.0,1850000.0
0.0,Gardens,25.0,1350000.0
2.0,Gardens,85.0,4350000.0
0,Gardens,74.0,2850000.0
2.0,Gardens,70.0,3350000.0
2.0,Gardens,98.0,3450000.0
3.0,Gardens,88.0,2700000.0
2.0,Gardens,98.0,3450000.0
1.0,Gardens,53.0,2200000.0
3.0,Gardens,176.0,3490000.0
3.0,Gardens,109.0,3850000.0
2.0,Gardens,76.0,1995000.0
4.0,Gardens,703.0,13950000.0
1.0,Gardens,42.0,1895000.0
1.0,Gardens,46.0,1895000.0
1.0,Gardens,58.0,2200000.0
2.0,Gardens,71.0,1950000.0
2.0,Gardens,146.0,4750000.0
2.0,Gardens,60.0,3300000.0
3.0,Gardens,184.0,6950000.0
1.0,Gardens,167.0,3875000.0
2.0,Gardens,74.0,2395000.0
1.0,Gardens,60.0,1780000.0
1.0,Gardens,48.0,1800000.0
6.0,Gardens,407.0,9995000.0
1.0,Gardens,50.0,1799000.0
2.0,Gardens,74.0,2650000.0
0.0,Gardens,26.0,1195000.0
1.0,Gardens,78.0,2350000.0
1.0,Gardens,66.0,2599999.0
1.0,Gardens,69.0,2250000.0
1.0,Gardens,67.0,2300000.0
1.0,Gardens,48.0,1800000.0
0.0,Gardens,43.0,1595000.0
2.0,Gardens,83.0,2395000.0
3.0,Gardens,148.0,6295000.0
2.0,Gardens,93.0,4200000.0
1.0,Gardens,58.0,2200000.0
1.0,Gardens,46.0,2050000.0
2.0,Gardens,95.0,3250000.0
1.0,Gardens,48.0,1500000.0
2.0,Gardens,87.0,3225000.0
1.0,Gardens,57.0,1750000.0
0,Gardens,31.0,1095000.0
2.0,Gardens,123.0,3950000.0
1.0,Gardens,32.0,1295000.0
4.0,Gardens,133.0,3300000.0
3.0,Gardens,148.0,6295000.0
4.0,Gardens,158.0,4750000.0
2.0,Gardens,87.0,3225000.0
2.0,Gardens,68.0,2140000.0
2.0,Gardens,80.0,3200000.0
1.0,Gardens,68.0,2900000.0
2.0,Gardens,88.0,3290000.0
3.0,Gardens,250.0,6250000.0
3.0,Gardens,183.0,3900000.0
3.0,Gardens,146.0,3995000.0
2.0,Gardens,59.0,2995000.0
3.0,Gardens,250.0,6250000.0
2.0,Gardens,113.0,4449000.0
1.0,Gardens,57.0,1950000.0
1.0,Gardens,68.0,3800000.0
2.0,Gardens,67.0,3050000.0
2.0,Gardens,107.0,5195000.0
1.0,Gardens,57.0,1900000.0
1.0,Gardens,63.0,1730000.0
1.0,Gardens,56.0,1950000.0
0,Gardens,160.0,7950000.0
3.0,Gardens,315.0,11750000.0
2.0,Gardens,117.0,3900000.0
13.0,Gardens,485.0,11995000.0
0.0,Gardens,40.0,1550000.0
2.0,Gardens,61.0,2350000.0
1.0,Gardens,52.0,1195000.0
4.0,Gardens,145.0,5850000.0
2.0,Gardens,82.0,3795000.0
2.0,Gardens,80.0,2450000.0
2.0,Gardens,122.0,4350000.0
