bedrooms,location,area,price
2.0,Sea Point,139.0,5600000.0
1.0,Sea Point,93.0,2399000.0
3.0,Sea Point,227.0,7950000.0
2.0,Sea Point,139.0,5600000.0
2.0,Sea Point,67.0,5200000.0
0,Sea Point,38.0,1925000.0
2.0,Sea Point,166.0,10950000.0
3.0,Sea Point,168.0,6550000.0
2.0,Sea Point,97.0,2990000.0
2.0,Sea Point,91.0,3450000.0
1.0,Sea Point,75.0,3150000.0
2.0,Sea Point,83.0,5200000.0
2.0,Sea Point,137.0,3950000.0
1.0,Sea Point,82.0,3995000.0
1.0,Sea Point,49.0,2450000.0
1.0,Sea Point,65.0,3500000.0
1.0,Sea Point,117.0,5500000.0
2.0,Sea Point,93.0,5500000.0
2.0,Sea Point,83.0,5200000.0
3.0,Sea Point,198.0,8950000.0
2.0,Sea Point,230.0,5950000.0
3.0,Sea Point,174.0,7750000.0
2.0,Sea Point,88.0,3590000.0
3.0,Sea Point,228.0,16175000.0
3.0,Sea Point,188.0,15700000.0
3.0,Sea Point,174.0,7750000.0
2.0,Sea Point,157.0,8450000.0
2.0,Sea Point,76.0,3149000.0
1.0,Sea Point,47.0,1850000.0
2.0,Sea Point,140.0,7900000.0
2.0,Sea Point,106.0,3650000.0
2.0,Sea Point,88.0,3350000.0
3.0,Sea Point,125.0,4495000.0
3.0,Sea Point,133.0,5850000.0
3.0,Sea Point,228.0,16175000.0
2.0,Sea Point,106.0,4900000.0
2.0,Sea Point,80.0,5300000.0
2.0,Sea Point,294.0,11500000.0
2.0,Sea Point,95.0,3999000.0
1.0,Sea Point,59.0,2100000.0
0,Sea Point,44.0,1680000.0
2.0,Sea Point,61.0,3295000.0
2.0,Sea Point,61.0,3295000.0
2.0,Sea Point,139.0,7900000.0
2.0,Sea Point,157.0,8450000.0
3.0,Sea Point,150.0,6995000.0
2.0,Sea Point,157.0,15950000.0
2.0,Sea Point,132.0,7750000.0
0.0,Sea Point,52.0,2495000.0
2.0,Sea Point,88.0,4600000.0
3.0,Sea Point,186.0,12995000.0
2.0,Sea Point,92.0,4800000.0
3.0,Sea Point,91.0,2500000.0
1.0,Sea Point,84.0,2850000.0
2.0,Sea Point,83.0,5295000.0
2.0,Sea Point,43.0,1895000.0
2.0,Sea Point,77.0,2995000.0
0.0,Sea Point,39.0,1400000.0
1.0,Sea Point,85.0,2845000.0
1.0,Sea Point,68.0,3750000.0
3.0,Sea Point,103.0,3600000.0
3.0,Sea Point,103.0,3600000.0
3.0,Sea Point,142.0,10995000.0
4.0,Sea Point,479.0,19900000.0
1.0,Sea Point,52.0,3950000.0
1.0,Sea Point,78.0,3400000.0
2.0,Sea Point,100.0,4200000.0
3.0,Sea Point,104.0,3495000.0
3.0,Sea Point,145.0,5450000.0
1.0,Sea Point,132.0,3250000.0
0,Sea Point,57.0,2995000.0
1.0,Sea Point,47.0,1995000.0
2.0,Sea Point,99.0,3975000.0
2.0,Sea Point,94.0,2995000.0
2.0,Sea Point,93.0,3195000.0
2.0,Sea Point,113.0,3395000.0
2.0,Sea Point,114.0,3900000.0
3.0,Sea Point,183.0,7350000.0
1.0,Sea Point,51.0,2200000.0
3.0,Sea Point,198.0,8950000.0
2.0,Sea Point,262.0,7849050.0
2.0,Sea Point,93.0,5209000.0
2.0,Sea Point,154.0,7659050.0
4.0,Sea Point,300.0,15999000.0
2.0,Sea Point,119.0,5488500.0
2.0,Sea Point,113.0,3395000.0
2.0,Sea Point,135.0,5895000.0
1.0,Sea Point,44.0,1950000.0
1.0,Sea Point,63.0,1950000.0
1.0,Sea Point,47.0,1850000.0
2.0,Sea Point,147.0,4999000.0
3.0,Sea Point,114.0,6350000.0
0.0,Sea Point,37.0,2990000.0
1.0,Sea Point,58.0,2295000.0
0.0,Sea Point,50.0,1900000.0
2.0,Sea Point,90.0,4795000.0
2.0,Sea Point,137.0,6750000.0
2.0,Sea Point,109.0,4750000.0
2.0,Sea Point,120.0,3699000.0
3.0,Sea Point,253.0,12999000.0
0.0,Sea Point,50.0,1900000.0
2.0,Sea Point,100.0,4995000.0
2.0,Sea Point,82.0,5250000.0
2.0,Sea Point,98.0,3595000.0
0,Sea Point,52.0,2495000.0
4.0,Sea Point,321.0,14750000.0
2.0,Sea Point,109.0,6450000.0
1.0,Sea Point,53.0,3500000.0
2.0,Sea Point,75.0,3250000.0
1.0,Sea Point,68.0,2995000.0
3.0,Sea Point,204.0,9999000.0
3.0,Sea Point,150.0,7900000.0
3.0,Sea Point,150.0,7900000.0
3.0,Sea Point,152.0,5500000.0
1.0,Sea Point,47.0,2050000.0
